"GIUDIZIO","GENERE","NAZIONE","ANNO","DURATA","VISIBILITÀ"
3,"SEN","USA",39,114,"TUT"
2,"COM","USA",88,109,"GEN"
2,"SEN","USA",90,105,"GEN"
2,"DRA","USA",91,145,"ADU"
2,"AVV","USA",55,87,"GEN"
2,"DRA","USA",81,129,"GEN"
3,"AVV","USA",86,98,"TUT"
3,"DRA","USA",87,152,"ADU"
2,"SEN","USA",88,95,"TUT"
3,"DRA","USA",90,95,"TUT"
3,"SEN","USA",61,115,"TUT"
2,"DRA","USA",90,133,"GEN"
2,"SEN","USA",56,87,"GEN"
2,"DRA","USA",90,100,"GEN"
2,"SEN","USA",60,92,"GEN"
2,"DRA","USA",91,130,"GEN"
1,"AVV","USA",84,117,"GEN"
3,"COM","USA",53,119,"TUT"
3,"SPI","USA",62,140,"GEN"
3,"DRA","USA",79,113,"GEN"
2,"AVV","USA",74,89,"TUT"
2,"DRA","USA",47,119,"GEN"
3,"AVV","USA",44,100,"GEN"
3,"DRA","USA",65,192,"GEN"
2,"AVV","USA",93,119,"ADU"
4,"CMC","USA",32,68,"TUT"
4,"SPI","USA",46,101,"GEN"
3,"CMC","USA",31,77,"TUT"
2,"AVV","USA",68,95,"TUT"
2,"BIO","USA",54,113,"GEN"
2,"AVV","USA",93,90,"ADU"
2,"DRA","USA",61,122,"ADU"
2,"THR","USA",53,81,"GEN"
2,"BEL","USA",76,132,"GEN"
2,"THR","USA",91,100,"ADU"
2,"DRA","USA",91,98,"ADU"
2,"AVV","USA",78,97,"TUT"
3,"DRA","USA",33,97,"GEN"
2,"THR","USA",92,92,"ADU"
3,"BEL","USA",88,109,"GEN"
2,"AVV","USA",93,95,"ADU"
3,"BEL","USA",61,151,"GEN"
2,"THR","USA",86,105,"ADU"
2,"COM","USA",59,100,"ADU"
3,"THR","USA",81,105,"ADU"
2,"COM","USA",59,100,"GEN"
2,"THR","USA",94,80,"GEN"
2,"COM","USA",88,111,"TUT"
1,"THR","USA",92,100,"ADU"
1,"COM","USA",90,110,"GEN"
2,"THR","USA",93,90,"ADU"
3,"COM","USA",66,99,"TUT"
2,"THR","USA",92,100,"ADU"
